type,key,value,reliability,validity,details
ip_dependency_client,10.100.30.242,10.100.33.138,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,10.100.33.26,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.33.26,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,ff02::1:2,fe80::250:56ff:febf:3337,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::250:56ff:febf:3337,ff02::1:2,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,10.100.36.23,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.36.23,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,192.168.111.19,192.168.3.70,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 50}"
ip_dependency_client,192.168.3.70,192.168.111.19,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 50}"
ip_dependency_server,192.168.55.106,192.168.3.70,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 51}"
ip_dependency_client,192.168.3.70,192.168.55.106,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 51}"
ip_dependency_server,10.100.32.27,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.32.27,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,ff02::1:2,fe80::ee01:183a:37a2:ba74,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_client,fe80::ee01:183a:37a2:ba74,ff02::1:2,1,"[""2023-03-10 18:25:59"",""2023-03-10 18:25:59""]","{""src"": ""dependency_mapping"", ""port"": ""547"", ""num_packets"": 2}"
ip_dependency_server,10.100.64.21,10.100.16.30,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 20}"
